IcaoCode,IataCode,Model,ModelUrl,ModelTitle,ModelImageUrl
A124,A4F,Antonov AN-124 Ruslan,https://en.wikipedia.org/wiki/Antonov_An-124,Antonov An-124 Ruslan,https://upload.wikimedia.org/wikipedia/commons/thumb/5/52/An-124_RA-82028_09-May-2010.JPG/256px-An-124_RA-82028_09-May-2010.JPG
A140,A40,Antonov AN-140,https://en.wikipedia.org/wiki/Antonov_AN-140,Antonov An-140,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5f/Antonov_An-140_1.jpg/256px-Antonov_An-140_1.jpg
A148,A81,Antonov An-148,https://en.wikipedia.org/wiki/Antonov_An-148,Antonov An-148,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2f/%D0%90%D0%BD%D1%82%D0%BE%D0%BD%D0%BE%D0%B2_%D0%90%D0%BD-148_01-02%2C_%D0%9A%D0%B8%D0%B5%D0%B2_-_%D0%90%D0%BD%D1%82%D0%BE%D0%BD%D0%BE%D0%B2_%28%D0%93%D0%BE%D1%81%D1%82%D0%BE%D0%BC%D0%B5%D0%BB%D1%8C%29_RP29608.jpg/256px-%D0%90%D0%BD%D1%82%D0%BE%D0%BD%D0%BE%D0%B2_%D0%90%D0%BD-148_01-02%2C_%D0%9A%D0%B8%D0%B5%D0%B2_-_%D0%90%D0%BD%D1%82%D0%BE%D0%BD%D0%BE%D0%B2_%28%D0%93%D0%BE%D1%81%D1%82%D0%BE%D0%BC%D0%B5%D0%BB%D1%8C%29_RP29608.jpg
A158,A58,Antonov An-158,https://en.wikipedia.org/wiki/Antonov_An-148#Variants,Antonov An-148,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2f/%D0%90%D0%BD%D1%82%D0%BE%D0%BD%D0%BE%D0%B2_%D0%90%D0%BD-148_01-02%2C_%D0%9A%D0%B8%D0%B5%D0%B2_-_%D0%90%D0%BD%D1%82%D0%BE%D0%BD%D0%BE%D0%B2_%28%D0%93%D0%BE%D1%81%D1%82%D0%BE%D0%BC%D0%B5%D0%BB%D1%8C%29_RP29608.jpg/256px-%D0%90%D0%BD%D1%82%D0%BE%D0%BD%D0%BE%D0%B2_%D0%90%D0%BD-148_01-02%2C_%D0%9A%D0%B8%D0%B5%D0%B2_-_%D0%90%D0%BD%D1%82%D0%BE%D0%BD%D0%BE%D0%B2_%28%D0%93%D0%BE%D1%81%D1%82%D0%BE%D0%BC%D0%B5%D0%BB%D1%8C%29_RP29608.jpg
A19N,32D,Airbus A319neo,https://en.wikipedia.org/wiki/Airbus_A319neo,Airbus A320neo family,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4d/IndiGo_Airbus_A320neo_F-WWDG_%28to_VT-ITI%29_%2828915135713%29.jpg/256px-IndiGo_Airbus_A320neo_F-WWDG_%28to_VT-ITI%29_%2828915135713%29.jpg
A20N,32A,Airbus A320neo,https://en.wikipedia.org/wiki/Airbus_A320neo,Airbus A320neo family,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4d/IndiGo_Airbus_A320neo_F-WWDG_%28to_VT-ITI%29_%2828915135713%29.jpg/256px-IndiGo_Airbus_A320neo_F-WWDG_%28to_VT-ITI%29_%2828915135713%29.jpg
A21N,32B,Airbus A321neo,https://en.wikipedia.org/wiki/Airbus_A321neo,Airbus A320neo family,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4d/IndiGo_Airbus_A320neo_F-WWDG_%28to_VT-ITI%29_%2828915135713%29.jpg/256px-IndiGo_Airbus_A320neo_F-WWDG_%28to_VT-ITI%29_%2828915135713%29.jpg
A225,A25,Antonov An-225 Mriya,https://en.wikipedia.org/wiki/Antonov_An-225_Mriya,Antonov An-225 Mriya,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cc/Antonov_An-225_Beltyukov-1.jpg/256px-Antonov_An-225_Beltyukov-1.jpg
A30B,AB3,Airbus A300B1,https://en.wikipedia.org/wiki/Airbus_A300,Airbus A300,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1e/FedEx_Airbus_A300_condensation_in_both_intakes%21_%2826380182084%29.jpg/256px-FedEx_Airbus_A300_condensation_in_both_intakes%21_%2826380182084%29.jpg
A30B,AB4,"Airbus A300B2, A300B4, and A300C4",https://en.wikipedia.org/wiki/Airbus_A300,Airbus A300,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1e/FedEx_Airbus_A300_condensation_in_both_intakes%21_%2826380182084%29.jpg/256px-FedEx_Airbus_A300_condensation_in_both_intakes%21_%2826380182084%29.jpg
